dataset,graph_id,source_index,split,n_nodes,n_edges,graph_hash_sha256,source_loader,source_name,source_ego_id
twitter,twitter_graph000001,1,train,237,2046,a578e2cfd52ba2de3800c6776557b1677b980c72a381e9efd528ed6a1a15d0c0,snap_twitter_tar_parser,ego-Twitter,12831.0
twitter,twitter_graph000002,2,train,232,2487,d8bd7150c93320b1e6558b3d96963977b3155ce579a65eb9cdaa67afa4ef5026,snap_twitter_tar_parser,ego-Twitter,78813.0
twitter,twitter_graph000003,3,train,127,621,0313ccec5cf8cc4b9930d381e1a07d717b9e9bcbad069a5f930f6e46ef8ca7f4,snap_twitter_tar_parser,ego-Twitter,356963.0
twitter,twitter_graph000004,4,train,66,994,86b9e8322996e6df77213211a7618644741e441473c11aeee1f8c8bf41610fe9,snap_twitter_tar_parser,ego-Twitter,428333.0
twitter,twitter_graph000005,5,train,77,1010,c534cc1cfd8fb674f32893343d3cbd688b716016f6f4eca092fbd3d68aba812d,snap_twitter_tar_parser,ego-Twitter,612473.0
twitter,twitter_graph000006,6,train,89,792,6812d87a5244439d2da40d726b2f4ebf0f29a75037dd644e9186f34b18c58913,snap_twitter_tar_parser,ego-Twitter,613313.0
twitter,twitter_graph000007,7,train,107,544,2d3a9136f3402f8029149550c297bf77a694338e9393a9613bde6f549453ecc7,snap_twitter_tar_parser,ego-Twitter,623623.0
twitter,twitter_graph000008,8,train,160,955,0f2941707453fb8c74cf1127b584c9bc485be32c1adf3314333ab20e41d10f4a,snap_twitter_tar_parser,ego-Twitter,629863.0
twitter,twitter_graph000009,9,train,10,43,d57d80962ba4626f06c6357b6a8ffdb992561bcf6786571c651cf656d05ad700,snap_twitter_tar_parser,ego-Twitter,734493.0
twitter,twitter_graph000010,10,train,58,634,c1986d17bfb72ce3abee48a48713f31e58dab7ec413a4555dff1f25de6efb3b9,snap_twitter_tar_parser,ego-Twitter,742143.0
twitter,twitter_graph000011,11,train,243,4614,cc82414e9d444aab0f4bc6206f71b0dc04b33b1b5f782c59812aae102cd25422,snap_twitter_tar_parser,ego-Twitter,745823.0
